
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 3 Время: 0.272289
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 3 Время: 0.271953
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 3 Время: 0.015079

Размер матрицы: 500 Размер блока:50 Кол-во процессов: 4 Время: 0.328779
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 4 Время: 0.326856
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 4 Время: 0.328807
Размер матрицы: 500 Размер блока:50 Кол-во процессов: 4 Время: 0.012349

Размер матрицы: 500 Размер блока:100 Кол-во процессов: 1 Время: 0.031480

Размер матрицы: 500 Размер блока:100 Кол-во процессов: 2 Время: 0.263604
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 2 Время: 0.033405

Размер матрицы: 500 Размер блока:100 Кол-во процессов: 3 Время: 0.296486
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 3 Время: 0.296230
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 3 Время: 0.048559

Размер матрицы: 500 Размер блока:100 Кол-во процессов: 4 Время: 0.314476
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 4 Время: 0.314436
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 4 Время: 0.314764
Размер матрицы: 500 Размер блока:100 Кол-во процессов: 4 Время: 0.058584
